AMU,American University,1
APPSTATE,Appalachian State University,3
ASU,Arizona State University Campus Immersion,4
BSUN,Ball State University,6
BU,Bradley University,8
BSU,Boise State University,11
BC,Boston College,12
BGSU,Bowling Green State University-Main Campus,13
BYU,Brigham Young University,14
CALTECH,California Institute of Technology,18
CALPOLY,California Polytechnic State University-San Luis Obispo,19
CPP,California State Polytechnic University-Pomona,20
CSUB,California State University-Bakersfield,21
CSUCHI,California State University-Chico,22
CSUDH,California State University-Dominguez Hills,23
CSUEB,California State University-East Bay,24
CSUF,California State University-Fresno,25
CSUFUL,California State University-Fullerton,26
CSULB,California State University-Long Beach,27
CSULA,California State University-Los Angeles,28
CSUMB,California State University-Monterey Bay,29
CSUN,California State University-Northridge,30
CSUS,California State University-Sacramento,31
CSUSB,California State University-San Bernardino,32
CSUSM,California State University-San Marcos,33
CMU,Carnegie Mellon University,34
CWRU,Case Western Reserve University,35
CMICH,Central Michigan University,36
CWU,Central Washington University,37
CLARKAT,Clark Atlanta University,39
CSU,Cleveland State University,41
CCU,Coastal Carolina University,42
COFC,College of Charleston,45
COLOCOL,Colorado College,46
CSM,Colorado School of Mines,47
CSUFC,Colorado State University-Fort Collins,48
CCNY,CUNY City College,52
QCC,CUNY Queens College,54
DEPUL,DePaul University,56
ECU,East Carolina University,60
EMU,Eastern Michigan University,61
FSU,Florida State University,66
FAU,Florida Atlantic University,67
FGCU,Florida Gulf Coast University,68
FIT,Florida Institute of Technology,69
FIU,Florida International University,70
FLSOU,Florida Southern College,71
GMU,George Mason University,73
GW,George Washington University,74
GT,Georgia Institute of Technology-Main Campus,76
GASOU,Georgia Southern University,77
GSU,Georgia State University,78
GCU,Grand Canyon University,79
GVSU,Grand Valley State University,80
HPU,High Point University,84
HFU,Hofstra University,85
ILLINOISST,Illinois State University,87
ISU,Iowa State University,88
IU,Indiana University-Bloomington,89
IUPUI,Indiana University-Purdue University-Indianapolis,90
JSU,Jacksonville State University,92
JMU,James Madison University,93
JHU,Johns Hopkins University,94
KSU,Kent State University at Kent,96
LU,Liberty University,98
LIU,Long Island University,99
LSU,Louisiana State University and Agricultural & Mechanical College,100
LMULA,Loyola Marymount University,101
