Adelphi University,Northeast,NY,Private,Suburb: Large,>55%,Medium
American University,South,DC,Private,City: Large,>55%,Large
Amherst College,Northeast,MA,Private,Suburb: Large,<10%,Small
Appalachian State University,South,NC,Public,Town: Distant,>55%,Very Large
Arizona State University Campus Immersion,West,AZ,Public,City: Midsize,>55%,Very Large
Auburn University,South,AL,Public,City: Small,>55%,Very Large
Ball State University,Midwest,IN,Public,City: Small,>55%,Very Large
Barnard College,Northeast,NY,Private,City: Large,10%-20%,Small
Barry University,South,FL,Private,Suburb: Large,>55%,Medium
Baylor University,South,TX,Private,City: Midsize,>55%,Very Large
Binghamton University,Northeast,NY,Public,Suburb: Midsize,,35%-50%,Large
Boise State University,West,ID,Public,City: Midsize,>55%,Very Large
Boston College,Northeast,MA,Private,City: Small,10%-20%,Large
Boston University,Northeast,MA,Private,City: Large,10%-20%,Very Large
Bowling Green State University-Main Campus,Midwest,OH,Public,Town: Fringe,>55%,Large
Bradley University,Midwest,IL,Private,City: Midsize,>55%,Medium
Brigham Young University,West,UT,Private,City: Midsize,>55%,Very Large
Brown University,Northeast,RI,Private,City: Midsize,<10%,Large
Bucknell University,Northeast,PA,Private,Town: Distant,,20%-35%,Small
Butler University,Midwest,IN,Private,City: Large,>55%,Medium
California Institute of Technology,West,CA,Private,City: Midsize,<10%,Small
California Polytechnic State University-San Luis Obispo,West,CA,Public,Suburb: Small,,20%-35%,Very Large
California State Polytechnic University-Pomona,West,CA,Public,Suburb: Large,>55%,Very Large
California State University-Bakersfield,West,CA,Public,City: Large,>55%,Large
California State University-Chico,West,CA,Public,City: Midsize,>55%,Large
California State University-Dominguez Hills,West,CA,Public,City: Small,>55%,Large
California State University-East Bay,West,CA,Public,Suburb: Large,>55%,Large
California State University-Fullerton,West,CA,Public,Suburb: Large,>55%,Very Large
California State University-Long Beach,West,CA,Public,City: Large,,35%-50%,Very Large
California State University-Los Angeles,West,CA,Public,City: Large,>55%,Very Large
California State University-Monterey Bay,West,CA,Public,Suburb: Midsize,>55%,Medium
California State University-Sacramento,West,CA,Public,City: Large,>55%,Very Large
California State University-San Bernardino,West,CA,Public,City: Midsize,>55%,Large
California State University-San Marcos,West,CA,Public,Suburb: Large,>55%,Large
Carnegie Mellon University,Northeast,PA,Private,City: Large,10%-20%,Large
Case Western Reserve University,Midwest,OH,Private,City: Large,,20%-35%,Large
Central Michigan University,Midwest,MI,Public,Town: Distant,>55%,Large
Central Washington University,West,WA,Public,Town: Distant,>55%,Large
Chapman University,West,CA,Private,City: Midsize,>55%,Medium
Clark Atlanta University,South,GA,Private,City: Large,>55%,Small
Clemson University,South,SC,Public,Suburb: Large,,35%-50%,Very Large
Cleveland State University,Midwest,OH,Public,City: Large,>55%,Large
Coastal Carolina University,South,SC,Public,City: Small,>55%,Large
Colby College,Northeast,ME,Private,Town: Remote,<10%,Small
Colgate University,Northeast,NY,Private,Town: Distant,10%-20%,Small
College of Charleston,South,SC,Public,City: Midsize,>55%,Large
Colorado College,West,CO,Private,City: Large,10%-20%,Small
Colorado School of Mines,West,CO,Public,Suburb: Large,>55%,Medium
Colorado State University-Fort Collins,West,CO,Public,City: Midsize,>55%,Very Large
Columbia University in the City of New York,Northeast,NY,Private,City: Large,<10%,Very Large
Cornell University,Northeast,NY,Private,City: Small,<10%,Very Large
CUNY Bernard M Baruch College,Northeast,NY,Public,City: Large,,35%-50%,Large
CUNY City College,Northeast,NY,Public,City: Large,>55%,Large
CUNY Hunter College,Northeast,NY,Public,City: Large,,35%-50%,Very Large
CUNY Queens College,Northeast,NY,Public,City: Large,>55%,Large
Dartmouth College,Northeast,NH,Private,Town: Remote,<10%,Medium
DePaul University,Midwest,IL,Private,City: Large,>55%,Very Large
Drexel University,Northeast,PA,Private,City: Large,>55%,Very Large
Duke University,South,NC,Private,City: Large,<10%,Large
Duquesne University,Northeast,PA,Private,City: Large,>55%,Medium
East Carolina University,South,NC,Public,City: Small,>55%,Very Large
Eastern Michigan University,Midwest,MI,Public,Suburb: Large,>55%,Large
Elon University,South,NC,Private,Suburb: Midsize,>55%,Medium
Emerson College,Northeast,MA,Private,City: Large,,35%-50%,Medium
Emory University,South,GA,Private,City: Large,10%-20%,Large
