School,State,Control,Total Applications,Total Accepted,Acceptance Rate,Total Cost,Total Population,Male Population,Female Population,Male Percentage,Female Percentage, M/F 
Abilene Christian University,TX,Private not-for-profit,"8,208","5,755",70.11%,"$56,522","4,912","1,730","3,182",35.22%,64.78%,35/65
Abraham Baldwin Agricultural College,GA,Public,"2,200","1,658",75.36%,"$22,501","3,814","1,527","2,287",40.04%,59.96%,40/60
Adams State University,CO,Public,"1,717","1,714",99.83%,"$36,054","3,138","1,347","1,791",42.93%,57.07%,43/57
Adelphi University,NY,Private not-for-profit,"16,084","12,459",77.46%,"$66,256","7,520","2,229","5,291",29.64%,70.36%,30/70
Adrian College,MI,Private not-for-profit,"2,736","2,079",75.99%,"$55,498","1,871",984,887,52.59%,47.41%,53/47
AdventHealth University,FL,Private not-for-profit,257,232,90.27%,"$42,483","1,667",333,"1,334",19.98%,80.02%,20/80
Alabama A & M University,AL,Public,"6,560","4,697",71.60%,"$32,844","5,969","2,353","3,616",39.42%,60.58%,39/61
Alabama State University,AL,Public,"5,974","5,854",97.99%,"$30,438","3,964","1,364","2,600",34.41%,65.59%,34/66
Alcorn State University,MS,Public,"4,819","1,875",38.91%,"$23,744","3,074",985,"2,089",32.04%,67.96%,32/68
Alfred University,NY,Private not-for-profit,"6,243","4,193",67.16%,"$54,604","1,982",855,"1,127",43.14%,56.86%,43/57
Alliance University,NY,Private not-for-profit,284,283,99.65%,"$49,115","1,863",769,"1,094",41.28%,58.72%,41/59
Alvernia University,PA,Private not-for-profit,"5,371","3,103",57.77%,"$58,780","2,536",847,"1,689",33.40%,66.60%,33/67
Alverno College,WI,Private not-for-profit,666,605,90.84%,"$47,696","1,822",126,"1,696",6.92%,93.08%,7/93
American International College,MA,Private not-for-profit,"3,494","2,022",57.87%,"$58,750","2,244",792,"1,452",35.29%,64.71%,35/65
American Musical and Dramatic Academy,NY,Private not-for-profit,"9,727","2,146",22.06%,"$63,820","1,666",480,"1,186",28.81%,71.19%,29/71
American University,DC,Private not-for-profit,"19,650","12,594",64.09%,"$71,703","14,852","5,515","9,337",37.13%,62.87%,37/63
Amherst College,MA,Private not-for-profit,"13,999","1,224",8.74%,"$83,650","1,971",957,"1,014",48.55%,51.45%,49/51
