American University,DC,Private,City: Large,51%-75%,Large,www.american.edu/,-77.088875,38.936005
Auburn University,AL,Public,City: Small,51%-75%,Very Large,www.auburn.edu/,-85.488258,32.599378
Ball State University,IN,Public,City: Small,51%-75%,Very Large,https://www.bsu.edu/,-85.409043,40.203431
Baylor University,TX,Private,City: Midsize,51%-75%,Very Large,www.baylor.edu/,-97.121041,31.546872
Binghamton University,NY,Public,Suburb: Midsize,<10%,Large,www.binghamton.edu/,-75.966889,42.087868
Boston College,MA,Private,City: Small,10%-25%,Large,www.bc.edu/,-71.169242,42.336213
Boston University,MA,Private,City: Large,10%-25%,Very Large,www.bu.edu/,-71.107942,42.351118
Brigham Young University,UT,Private,City: Midsize,51%-75%,Very Large,www.byu.edu/,-111.649281,40.250851
Brown University,RI,Private,City: Midsize,Most Selective,Large,www.brown.edu/,-71.40385,41.82617
Bucknell University,PA,Private,Town: Distant,<10%,Small,www.bucknell.edu/,-76.882616,40.954317
California Institute of Technology,CA,Private,City: Midsize,Most Selective,Small,www.caltech.edu/,-118.125878,34.137349
California State University-Fullerton,CA,Public,Suburb: Large,51%-75%,Very Large,www.fullerton.edu/,-117.885446,33.881506
California State University-Long Beach,CA,Public,City: Large,<10%,Very Large,www.csulb.edu/,-118.11204,33.782818
Carnegie Mellon University,PA,Private,City: Large,10%-25%,Large,www.cmu.edu/,-79.941993,40.44357
Case Western Reserve University,OH,Private,City: Large,<10%,Large,www.case.edu/,-81.609596,41.507419
Central Michigan University,MI,Public,Town: Distant,>75%,Large,https://www.cmich.edu/,-84.77525,43.591203
Chapman University,CA,Private,City: Midsize,51%-75%,Medium,https://www.chapman.edu/,-117.852518,33.79302
Clark Atlanta University,GA,Private,City: Large,51%-75%,Small,www.cau.edu/,-84.412584,33.747628
Clemson University,SC,Public,Suburb: Large,<10%,Very Large,www.clemson.edu/,-82.835114,34.679381
Colgate University,NY,Private,Town: Distant,10%-25%,Small,https://www.colgate.edu/,-75.536346,42.819475
College of Charleston,SC,Public,City: Midsize,>75%,Large,www.cofc.edu/,-79.939794,32.784225
Colorado School of Mines,CO,Public,Suburb: Large,51%-75%,Medium,www.mines.edu/,-105.223364,39.751443
Columbia University in the City of New York,NY,Private,City: Large,Most Selective,Very Large,www.columbia.edu/,-73.961885,40.808286
Cornell University,NY,Private,City: Small,Most Selective,Very Large,www.cornell.edu/,-76.483084,42.4472
CUNY Hunter College,NY,Public,City: Large,<10%,Very Large,www.hunter.cuny.edu/,-73.964795,40.768669
Dartmouth College,NH,Private,Town: Remote,Most Selective,Medium,www.dartmouth.edu/,-72.289949,43.704115
DePaul University,IL,Private,City: Large,51%-75%,Very Large,https://www.depaul.edu/,-87.62724,41.877618
Duke University,NC,Private,City: Large,Most Selective,Large,www.duke.edu/,-78.937624,36.001135
Elon University,NC,Private,Suburb: Midsize,>75%,Medium,www.elon.edu/,-79.50344,36.104148
Emerson College,MA,Private,City: Large,<10%,Medium,www.emerson.edu/,-71.065384,42.352202
Emory University,GA,Private,City: Large,10%-25%,Large,www.emory.edu/,-84.325512,33.790183
Fairfield University,CT,Private,Suburb: Large,51%-75%,Medium,fairfield.edu/,-73.255903,41.157673
Florida International University,FL,Public,Suburb: Large,51%-75%,Very Large,www.fiu.edu/,-80.373928,25.75732
Florida State University,FL,Public,City: Midsize,<10%,Very Large,https://www.fsu.edu/,-84.295064,30.443147
Fordham University,NY,Private,City: Large,51%-75%,Large,www.fordham.edu/,-73.882705,40.859354
George Washington University,DC,Private,City: Large,<10%,Very Large,https://www.gwu.edu/,-77.048363,38.89923
Georgetown University,DC,Private,City: Large,10%-25%,Very Large,www.georgetown.edu/,-77.073463,38.908809
Georgia Institute of Technology-Main Campus,GA,Public,City: Large,10%-25%,Very Large,www.gatech.edu/,-84.394832,33.77242
Harvard University,MA,Private,City: Midsize,Most Selective,Very Large,www.harvard.edu/,-71.118313,42.374471
Hofstra University,NY,Private,Suburb: Large,51%-75%,Large,www.hofstra.edu/,-73.60078,40.715959
Howard University,DC,Private,City: Large,<10%,Large,www.howard.edu/,-77.018966,38.922392
Ithaca College,NY,Private,Suburb: Small,>75%,Medium,www.ithaca.edu/,-76.494136,42.422154
Johns Hopkins University,MD,Private,City: Large,Most Selective,Very Large,www.jhu.edu/,-76.621595,39.328977
Lehigh University,PA,Private,City: Small,<10%,Medium,www.lehigh.edu/,-75.380236,40.606822
Louisiana State University and Agricultural & Mechanical College,LA,Public,City: Midsize,51%-75%,Very Large,www.lsu.edu/,-91.178921,30.414986
Loyola Marymount University,CA,Private,City: Large,<10%,Large,https://www.lmu.edu/,-118.415744,33.97085
Loyola University Chicago,IL,Private,City: Large,>75%,Large,https://www.luc.edu/,-87.656872,42.000765
Marist College,NY,Private,Suburb: Large,51%-75%,Medium,www.marist.edu/,-73.935484,41.720937
Massachusetts Institute of Technology,MA,Private,City: Midsize,Most Selective,Large,web.mit.edu/,-71.093226,42.359243
Middle Tennessee State University,TN,Public,City: Midsize,51%-75%,Very Large,www.mtsu.edu/,-86.360618,35.848005
Middlebury College,VT,Private,Town: Distant,10%-25%,Small,https://www.middlebury.edu/,-73.176068,44.009117
Mississippi State University,MS,Public,Town: Remote,>75%,Very Large,https://www.msstate.edu/,-88.790139,33.454852
Montana State University,MT,Public,Town: Remote,51%-75%,Large,https://www.montana.edu/,-111.048812,45.666726
New Jersey Institute of Technology,NJ,Public,City: Large,51%-75%,Large,https://www.njit.edu/,-74.177113,40.741997
New Mexico State University-Main Campus,NM,Public,Suburb: Midsize,51%-75%,Large,www.nmsu.edu/,-106.752069,32.281568
New York University,NY,Private,City: Large,10%-25%,Very Large,https://www.nyu.edu/,-73.997264,40.729452
North Carolina A & T State University,NC,Public,City: Large,51%-75%,Large,www.ncat.edu/,-79.773375,36.07282
North Carolina State University at Raleigh,NC,Public,City: Large,<10%,Very Large,www.ncsu.edu/,-78.674517,35.785111
Northeastern University,MA,Private,City: Large,10%-25%,Very Large,www.northeastern.edu/,-71.088782,42.339992
Northern Arizona University,AZ,Public,City: Small,>75%,Very Large,https://nau.edu/,-111.653724,35.188449
Northern Illinois University,IL,Public,Suburb: Small,51%-75%,Large,www.niu.edu/,-88.766428,41.933869
Northwestern University,IL,Private,City: Small,Most Selective,Very Large,www.northwestern.edu/,-87.679858,42.050356
Ohio State University-Main Campus,OH,Public,City: Large,51%-75%,Very Large,www.osu.edu/,-83.014853,39.999324
Oklahoma State University-Main Campus,OK,Public,Town: Distant,51%-75%,Very Large,www.okstate.edu/,-97.069743,36.123085
Pennsylvania State University-Main Campus,PA,Public,City: Small,51%-75%,Very Large,https://www.psu.edu/,-77.862848,40.7965
Pepperdine University,CA,Private,Suburb: Large,51%-75%,Large,www.pepperdine.edu/,-118.707077,34.037786
Princeton University,NJ,Private,City: Small,Most Selective,Medium,www.princeton.edu/,-74.659365,40.348732
